id,name,default_unit,density_g_per_ml,is_active,notes,created_at,updated_at,category_id
354,"Sirop de fructe (visine, zmeura)",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
355,"Gem de caise",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
356,"Gem de piersici",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
357,"Gem de prune",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
358,"Gem de zmeura",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
359,"Gem de visine",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
360,"Gem de capsuni",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
361,"Gem de gutui",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
362,"Dulceata de trandafiri",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
363,"Jeleu de afine",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
364,"Jeleu de mure",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
365,"Marmelada amestec",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
366,"Marmelada extra",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
367,"Magiun de prune",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
368,"Ciocolata menaj",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
369,"Ciocolata cu lapte",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
370,"Halva din floarea soarelui",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",22
371,"Smântână 20%",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",23
372,"Smântână 30%",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",23
373,Unt,g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",23
374,"Ulei de floarea soarelui",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",23
375,"Ulei de floarea soarelui și soia",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",23
376,"Ulei soia",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",23
377,Margarină,g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",23
378,"Ulei germeni porumb",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",23
379,"Bere blondă (100 ml)",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",23
380,"Ceasca de Cafea (50 ml)",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",23
381,"ceasca de Ceai (100 ml)",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",23
382,"Ciocolata menaj",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",23
383,"Coca-Cola (100 ml)",g,,1,,"2026-01-22 20:21:26","2026-02-13 06:50:34",23
